Date,Open,High,Low,Close,Adj Close,Volume
2018-04-02,3.603602886199951,3.903903007507324,3.003002882003784,3.603602886199951,3.603602886199951,2914
2018-04-03,3.4534530639648438,3.603602886199951,3.003002882003784,3.3033030033111572,3.3033030033111572,1131
2018-04-04,3.1531529426574707,3.4534530639648438,3.003002882003784,3.3033030033111572,3.3033030033111572,328
2018-04-05,3.003002882003784,3.3033030033111572,2.402401924133301,3.003002882003784,3.003002882003784,3238
2018-04-06,2.702702045440674,3.003002882003784,2.702702045440674,3.003002882003784,3.003002882003784,1021
2018-04-09,2.402401924133301,3.3033030033111572,2.402401924133301,3.003002882003784,3.003002882003784,679
2018-04-10,2.402401924133301,3.3033030033111572,2.402401924133301,3.3033030033111572,3.3033030033111572,1443
2018-04-11,3.3033030033111572,3.3033030033111572,2.702702045440674,3.3033030033111572,3.3033030033111572,57
2018-04-12,3.3033030033111572,3.3033030033111572,2.702702045440674,3.003002882003784,3.003002882003784,2102
2018-04-13,3.003002882003784,3.1531529426574707,2.702702045440674,3.003002882003784,3.003002882003784,1753
2018-04-16,2.702702045440674,3.003002882003784,2.702702045440674,3.003002882003784,3.003002882003784,1597
2018-04-17,2.8528521060943604,3.003002882003784,2.702702045440674,3.003002882003784,3.003002882003784,2362
2018-04-18,2.8528521060943604,3.003002882003784,2.5525519847869873,2.702702045440674,2.702702045440674,1320
2018-04-19,2.402401924133301,3.003002882003784,2.402401924133301,2.702702045440674,2.702702045440674,1539
2018-04-20,2.402401924133301,3.003002882003784,2.402401924133301,2.402401924133301,2.402401924133301,600
2018-04-23,3.003002882003784,3.003002882003784,2.402401924133301,2.402401924133301,2.402401924133301,2913
2018-04-24,2.702702045440674,2.702702045440674,2.102102041244507,2.402401924133301,2.402401924133301,5007
2018-04-25,1.8018009662628174,2.702702045440674,1.8018009662628174,2.702702045440674,2.702702045440674,864
2018-04-26,2.102102041244507,2.702702045440674,2.102102041244507,2.5525519847869873,2.5525519847869873,845
